V1,V2,V3,V4,V5,V6,V7,V8
,,Yau Tsim Mong,16 August 2009,AUS,[m],,East Tsim Sha Tsui
,Transfer to      Tsuen Wan Line,via Tsim Sha Tsui Station,Yau Tsim Mong,24 October 2004,ETS,,
Hung Hom,,     East Rail Line,Yau Tsim Mong/Kowloon City,30 November 1975,HUH,,Livery
Name,Photo,Connections,District,Opened,Code,,Wu Kai Sha
,,Sha Tin,21 December 2004,WKS,,Ma On Shan,
,Sha Tin,21 December 2004,MOS,,Heng On,,
Sha Tin,21 December 2004,HEO,,Tai Shui Hang,,,Sha Tin
21 December 2004,TSH,,Shek Mun,,,Sha Tin,21 December 2004
SHM,,City One,,,Sha Tin,21 December 2004,CIO
,Sha Tin Wai,,,Sha Tin,21 December 2004,STW,
Che Kung Temple,,,Sha Tin,21 December 2004,CKT,,Tai Wai
,     East Rail Line,Sha Tin,21 December 2004,TAW,Livery,Name,Photo
Connections,District,Opened,Code,,Disneyland Resort,,
Tsuen Wan,1 August 2005,DIS,,Sunny Bay,,     Tung Chung Line,Tsuen Wan
1 June 2005,SUN,Livery,Name,Photo,Connections,District,Opened
Code,,South Horizons,,,Southern District,28 December 2016,SOH
,Lei Tung,,,Southern District,28 December 2016,LET,
Wong Chuk Hang,,,Southern District,28 December 2016,WCH,,Ocean Park
,,Southern District,28 December 2016,OCP,,Admiralty,
     Tsuen Wan Line     Island Line,Central and Western,28 December 2016,ADM,,,v,t
e,,MTR Light Rail stops,,,Fare zone 1,,
Tuen Mun Ferry Pier,Melody Garden,Butterfly,Light Rail Depot,Lung Mun,Siu Hei,Tuen Mun Swimming Pool,Goodview Garden
Siu Lun,Sam Shing,,,,Fare zone 2,,
Tsing Shan Tsuen,Tsing Wun,Kin On,Ho Tin,Choy Yee Bridge,Affluence,Shan King (North),Shan King (South)
Ming Kum,Shek Pai,Tai Hing (South),Tai Hing (North),Ngan Wai,On Ting,Yau Oi,Town Centre
Tuen Mun     ,Pui To,Hoh Fuk Tong,San Hui,Prime View,,,
Fare zone 3,,,Tuen Mun Hospital,Siu Hong     ,Kei Lun,Ching Chung,Kin Sang
Tin King,Leung King,San Wai,Fung Tei,Lam Tei,Nai Wai,Chung Uk Tsuen,
,,Fare zone 4,,,Hung Shui Kiu,Tong Fong Tsuen,Ping Shan
Hang Mei Tsuen,Tin Shui Wai     ,Tin Tsz,Tin Yiu,Locwood,Tin Wu,Ginza,Tin Shui
Chestwood,Tin Wing,,,,Fare zone 5A,,
Chung Fu,Tin Fu,Tin Yuet,Tin Sau,Wetland Park,Tin Heng,Tin Yat,
,,Fare zone 5,,,Shui Pin Wai,Fung Nin Road,Hong Lok Road
Tai Tong Road,Yuen Long     ,,,,,v,t
e,,Hong Kong MTR system,,,,,List of stations
MTR Corporation,,,,Rail service,,,Lines
,,Rapid transit,,,     Disneyland Resort Line,     East Rail Line,     Island Line
     Kwun Tong Line,     Ma On Shan Line,     South Island Line,     Tseung Kwan O Line,     Tsuen Wan Line,     Tung Chung Line,     West Rail Line,
,,Airport rail link,,,     Airport Express,,
,Light rail,,,     Light Rail,,,
Cross-border,,,Guangdong Through Train,Shanghai Through Train *,Beijing Through Train *,,
,Under construction,or planning,,,Northern Link,North Island Line,Sha Tin to Central Link
South Island Line (West),East Kowloon Line,Guangzhou–Shenzhen–Hong Kong Express Rail Link,Full list,,,,
Rolling,stock,,,         Adtranz–CAF EMU,                 CNR Changchun EMU: C-Train,     CNR Changchun EMU: S-Train,     Hyundai Rotem EMU
     Metro Cammell EMU (AC),                     Metro Cammell EMU (DC),                 SP1900/1950 EMU, CSR Sifang EMU (XRL): CRH380A,         Rotem EMU,"                 CSR Sifang EMU (KTL, TWL, ISL, TKL)"," Lok 2000, KTT",     Light Rail Rolling Stock
,,,Lines,,,Rapid transit,
,     Disneyland Resort Line,     East Rail Line,     Island Line,     Kwun Tong Line,     Ma On Shan Line,     South Island Line,     Tseung Kwan O Line
     Tsuen Wan Line,     Tung Chung Line,     West Rail Line,,,,Airport rail link,
,     Airport Express,,,,Light rail,,
     Light Rail,,,,Cross-border,,,Guangdong Through Train
Shanghai Through Train *,Beijing Through Train *,,,,Under construction,or planning,
,Northern Link,North Island Line,Sha Tin to Central Link,South Island Line (West),East Kowloon Line,Guangzhou–Shenzhen–Hong Kong Express Rail Link,Full list
,,,Rapid transit,,,     Disneyland Resort Line,     East Rail Line
     Island Line,     Kwun Tong Line,     Ma On Shan Line,     South Island Line,     Tseung Kwan O Line,     Tsuen Wan Line,     Tung Chung Line,     West Rail Line
,,,Airport rail link,,,     Airport Express,
,,Light rail,,,     Light Rail,,
,Cross-border,,,Guangdong Through Train,Shanghai Through Train *,Beijing Through Train *,
,,Under construction,or planning,,,Northern Link,North Island Line
Sha Tin to Central Link,South Island Line (West),East Kowloon Line,Guangzhou–Shenzhen–Hong Kong Express Rail Link,Full list,,,
Rolling,stock,,,         Adtranz–CAF EMU,                 CNR Changchun EMU: C-Train,     CNR Changchun EMU: S-Train,     Hyundai Rotem EMU
     Metro Cammell EMU (AC),                     Metro Cammell EMU (DC),                 SP1900/1950 EMU, CSR Sifang EMU (XRL): CRH380A,         Rotem EMU,"                 CSR Sifang EMU (KTL, TWL, ISL, TKL)"," Lok 2000, KTT",     Light Rail Rolling Stock
,,,Non-rail,service,,,Ngong Ping 360
MTR Bus (Northwest New Territories),MTR Feeder Bus,Airport Express Shuttle Bus,,,,,
 * Operated solely by trains from mainland China,,,Livery,Name,Photo,Connections,District
